"id","model","status","date","link"
"23579","Unknown tank","Abandoned","30 Jan 2024","/view/23579/125736/"
"23578","Unknown tank","Abandoned","30 Jan 2024","/view/23578/125736/"
"23575","Unknown tank","Abandoned","30 Jan 2024","/view/23575/125736/"
"23727","T-62M","Destroyed","29 Jan 2024","/view/23727/127607/"
"23726","T-62M","Destroyed","29 Jan 2024","/view/23726/127608/"
"23725","T-62M","Destroyed","29 Jan 2024","/view/23725/127609/"
"23572","Unknown tank","Destroyed","29 Jan 2024","/view/23572/134614/"
"23571","T-90M 'Proryv'","Abandoned","29 Jan 2024","/view/23571/125841/"
"23556","T-72B Obr. 2022","Destroyed","28 Jan 2024","/view/23556/125408/"
"23532","Unknown tank","Destroyed","28 Jan 2024","/view/23532/125648/"
"23531","T-72 *","Abandoned","28 Jan 2024","/view/23531/125647/"
"23530","T-72B3","Destroyed","28 Jan 2024","/view/23530/125646/"
"23701","Unknown tank","Destroyed","27 Jan 2024","/view/23701/126678/"
"23700","T-72B","Destroyed","27 Jan 2024","/view/23700/126675/"
"23550","Unknown T-72 Obr. 2022 variant","Abandoned","27 Jan 2024","/view/23550/125294/"
"23549","T-72 *","Destroyed","27 Jan 2024","/view/23549/125204/"
"23595","T-80BV","Abandoned","26 Jan 2024","/view/23595/126984/"
"23494","T-80BV","Destroyed","26 Jan 2024","/view/23494/125034/"
"23498","T-72A","Destroyed","25 Jan 2024","/view/23498/125100/"
"23611","T-72B3","Destroyed","24 Jan 2024","/view/23611/126635/"
"23423","Unknown tank","Abandoned","23 Jan 2024","/view/23423/124275/"
"23422","Unknown tank","Abandoned","23 Jan 2024","/view/23422/124273/"
"23401","T-72B3 Obr. 2016","Destroyed","23 Jan 2024","/view/23401/124234/"
"23399","Unknown tank","Abandoned","23 Jan 2024","/view/23399/124313/"
"24456","Unknown tank","Abandoned","22 Jan 2024","/view/24456/134087/"
"24455","Unknown tank","Abandoned","22 Jan 2024","/view/24455/134087/"
"24454","Unknown tank","Abandoned","22 Jan 2024","/view/24454/134087/"
"23431","T-80BVM Obr. 2022","Destroyed","22 Jan 2024","/view/23431/124946/"
"23395","Unknown tank","Abandoned","22 Jan 2024","/view/23395/124316/"
"23368","T-80BVM","Abandoned","22 Jan 2024","/view/23368/123884/"
"16607","T-80BV","Destroyed","22 Jan 2024","/view/16607/123943/"
"23403","T-90M 'Proryv'","Destroyed","21 Jan 2024","/view/23403/124699/"
"23388","T-62MV Obr. 2022","Damaged","21 Jan 2024","/view/23388/123930/"
"23364","Unknown tank","Destroyed","21 Jan 2024","/view/23364/125414/"
"23363","Unknown T-80 Obr. 2022 variant","Destroyed","21 Jan 2024","/view/23363/125413/"
"23360","T-72 'Ural'","Abandoned","21 Jan 2024","/view/23360/123874/"
"23359","T-72B Obr. 2022","Destroyed","21 Jan 2024","/view/23359/123873/"
"23330","Unknown T-72 Obr. 2022 variant","Abandoned","21 Jan 2024","/view/23330/124638/"
"23325","Unknown T-72 Obr. 2022 variant","Abandoned","21 Jan 2024","/view/23325/123731/"
"23324","T-72B3 Obr. 2022","Abandoned","21 Jan 2024","/view/23324/124229/"
"23323","Unknown tank","Abandoned","21 Jan 2024","/view/23323/124228/"
"23319","Unknown T-72 Obr. 2022 variant","Abandoned","21 Jan 2024","/view/23319/124567/"
"23217","T-80BVM","Destroyed","21 Jan 2024","/view/23217/124640/"
"23216","Unknown T-72 Obr. 2022 variant","Destroyed","21 Jan 2024","/view/23216/124640/"
"23349","T-72B3 Obr. 2022","Destroyed","20 Jan 2024","/view/23349/129703/"
"23315","T-80BV","Abandoned","20 Jan 2024","/view/23315/133680/"
"23311","Unknown tank","Destroyed","20 Jan 2024","/view/23311/123713/"
"23254","Unknown tank","Abandoned","19 Jan 2024","/view/23254/124708/"
"23253","Unknown tank","Abandoned","19 Jan 2024","/view/23253/122975/"
"23416","T-80BVK","Destroyed","18 Jan 2024","/view/23416/130557/"
"23379","T-72B3","Destroyed","18 Jan 2024","/view/23379/123761/"
"23371","T-90S","Abandoned","18 Jan 2024","/view/23371/123951/"
"23367","Unknown tank","Destroyed","18 Jan 2024","/view/23367/123891/"
"23210","T-72B","Destroyed","18 Jan 2024","/view/23210/125300/"
"23338","Unknown tank","Damaged","17 Jan 2024","/view/23338/123006/"
"23310","T-90M 'Proryv'","Damaged","17 Jan 2024","/view/23310/123148/"
"23282","T-72B Obr. 2022","Destroyed","17 Jan 2024","/view/23282/122653/"
"23212","T-80BV","Abandoned","17 Jan 2024","/view/23212/122767/"
"23211","T-80BV","Abandoned","17 Jan 2024","/view/23211/122769/"
"23440","Unknown tank","Destroyed","16 Jan 2024","/view/23440/125046/"
"23439","Unknown tank","Abandoned","16 Jan 2024","/view/23439/125046/"
"23232","T-72B Obr. 2022","Destroyed","16 Jan 2024","/view/23232/122435/"
"23219","T-80BV","Abandoned","16 Jan 2024","/view/23219/122473/"
"23162","T-72B3","Destroyed","16 Jan 2024","/view/23162/122363/"
"23230","T-72B3","Abandoned","15 Jan 2024","/view/23230/122427/"
"23202","T-72 *","Destroyed","15 Jan 2024","/view/23202/122194/"
"23181","T-80BVM","Destroyed","15 Jan 2024","/view/23181/122095/"
"23305","T-72B3","Destroyed","14 Jan 2024","/view/23305/122916/"
"23134","T-72B Obr. 2022","Abandoned","14 Jan 2024","/view/23134/122188/"
"23146","Unknown tank","Destroyed","13 Jan 2024","/view/23146/122195/"
"23098","Unknown tank","Abandoned","12 Jan 2024","/view/23098/121417/"
"23097","T-90M 'Proryv'","Abandoned","11 Jan 2024","/view/23097/121723/"
"23490","T-80BV","Destroyed","10 Jan 2024","/view/23490/124741/"
"23028","T-80BV","Destroyed","10 Jan 2024","/view/23028/121079/"
"23441","T-72B Obr. 2022","Destroyed","09 Jan 2024","/view/23441/124715/"
"23052","T-90M 'Proryv'","Damaged","09 Jan 2024","/view/23052/121462/"
"20855","T-72 *","Destroyed","09 Jan 2024","/view/20855/124312/"
"22965","T-72 *","Destroyed","08 Jan 2024","/view/22965/120777/"
"22957","T-80BVM","Damaged","08 Jan 2024","/view/22957/120731/"
"22955","T-62M","Abandoned","07 Jan 2024","/view/22955/120694/"
"23053","Unknown tank","Destroyed","06 Jan 2024","/view/23053/121437/"
"23391","T-72B3 Obr. 2016","Destroyed","05 Jan 2024","/view/23391/124067/"
"23370","Unknown tank","Abandoned","04 Jan 2024","/view/23370/123902/"
"23261","Unknown tank","Abandoned","04 Jan 2024","/view/23261/123156/"
"22814","T-80BV","Abandoned","04 Jan 2024","/view/22814/120068/"
"22794","T-72B3","Destroyed","04 Jan 2024","/view/22794/119865/"
"22793","Unknown T-72 Obr. 2022 variant","Destroyed","04 Jan 2024","/view/22793/119852/"
"22827","T-90A","Destroyed","03 Jan 2024","/view/22827/124678/"
"22270","T-72B3 Obr. 2022","Destroyed","02 Jan 2024","/view/22270/119842/"
"20369","T-72B3 Obr. 2022","Destroyed","02 Jan 2024","/view/20369/119366/"
"22753","Unknown T-80 Obr. 2022 variant","Destroyed","01 Jan 2024","/view/22753/120865/"
"22752","T-80BV","Destroyed","01 Jan 2024","/view/22752/119290/"
"22748","T-80BV","Destroyed","01 Jan 2024","/view/22748/125642/"
"22715","T-72 *","Abandoned","01 Jan 2024","/view/22715/120768/"
"23130","Unknown tank","Abandoned","31 Dec 2023","/view/23130/121802/"
"22837","T-72B3","Destroyed","31 Dec 2023","/view/22837/120383/"
"21576","T-72B3","Destroyed","29 Dec 2023","/view/21576/118802/"
"22658","T-72B3 Obr. 2016","Destroyed","28 Dec 2023","/view/22658/118920/"
"22655","T-72B3 Obr. 2022","Destroyed","28 Dec 2023","/view/22655/118367/"
"22626","T-72B Obr. 2022","Destroyed","28 Dec 2023","/view/22626/118697/"
"22595","T-80BV","Destroyed","28 Dec 2023","/view/22595/118510/"
"22594","T-80BV","Destroyed","28 Dec 2023","/view/22594/118323/"
"23689","T-80BV","Destroyed","27 Dec 2023","/view/23689/126798/"
"23688","T-80BV","Destroyed","27 Dec 2023","/view/23688/126797/"
"23686","T-62MV Obr. 2022","Abandoned","27 Dec 2023","/view/23686/126795/"
"23685","Unknown tank","Destroyed","27 Dec 2023","/view/23685/130132/"
"23684","T-80BV","Destroyed","27 Dec 2023","/view/23684/126792/"
"23681","Unknown tank","Abandoned","27 Dec 2023","/view/23681/126784/"
"23673","T-72B Obr. 2022","Abandoned","27 Dec 2023","/view/23673/126776/"
"22666","T-80BV","Abandoned","27 Dec 2023","/view/22666/126314/"
"22578","Unknown T-72 Obr. 2022 variant","Destroyed","27 Dec 2023","/view/22578/118416/"
"22576","T-72B","Abandoned","27 Dec 2023","/view/22576/118130/"
"22575","T-72B","Destroyed","27 Dec 2023","/view/22575/118127/"
"22511","T-72 *","Destroyed","27 Dec 2023","/view/22511/118121/"
"22187","T-72B3 Obr. 2022","Destroyed","27 Dec 2023","/view/22187/118195/"
"23263","T-72B","Destroyed","26 Dec 2023","/view/23263/124678/"
"23135","T-90M 'Proryv'","Abandoned","26 Dec 2023","/view/23135/122189/"
"22592","T-80BV","Destroyed","26 Dec 2023","/view/22592/118067/"
"22559","T-90M 'Proryv'","Abandoned","26 Dec 2023","/view/22559/117984/"
"22691","T-80BV","Destroyed","25 Dec 2023","/view/22691/119049/"
"22689","T-80BV","Abandoned","25 Dec 2023","/view/22689/119049/"
"22631","Unknown T-72 Obr. 2022 variant","Destroyed","25 Dec 2023","/view/22631/118716/"
"22602","T-72B Obr. 2022","Abandoned","25 Dec 2023","/view/22602/118469/"
"22587","T-80BV","Destroyed","25 Dec 2023","/view/22587/117856/"
"22538","T-62M Obr. 2022","Destroyed","25 Dec 2023","/view/22538/117878/"
"22256","T-80BVM","Destroyed","25 Dec 2023","/view/22256/117819/"
"22486","T-72 *","Destroyed","23 Dec 2023","/view/22486/125301/"
"23344","Unknown T-72 Obr. 2022 variant","Destroyed","22 Dec 2023","/view/23344/123075/"
